NAME_1,Y2004,Y2008,Y2012,Y2016,Y2020
 Alabama,Bush,McCain,Romney,Trump,Trump
 Alaska,Bush,McCain,Romney,Trump,Trump
 Arizona,Bush,McCain,Romney,Trump,Biden
 Arkansas,Bush,McCain,Romney,Trump,Trump
 California,Kerry,Obama,Obama,Clinton,Biden
 Colorado,Bush,Obama,Obama,Clinton,Biden
 Connecticut,Kerry,Obama,Obama,Clinton,Biden
 Delaware,Kerry,Obama,Obama,Clinton,Biden
District of Columbia,Kerry,Obama,Obama,Clinton,Biden
 Florida,Bush,Obama,Obama,Trump,Trump
Georgia,Bush,McCain,Romney,Trump,Biden
 Hawaii,Kerry,Obama,Obama,Clinton,Biden
 Idaho,Bush,McCain,Romney,Trump,Trump
 Illinois,Kerry,Obama,Obama,Clinton,Biden
 Indiana,Bush,Obama,Romney,Trump,Trump
 Iowa,Bush,Obama,Obama,Trump,Trump
 Kansas,Bush,McCain,Romney,Trump,Trump
 Kentucky,Bush,McCain,Romney,Trump,Trump
 Louisiana,Bush,McCain,Romney,Trump,Trump
 Maine,Kerry,Obama,Obama,Clinton,Biden
 Maryland,Kerry,Obama,Obama,Clinton,Biden
 Massachusetts,Kerry,Obama,Obama,Clinton,Biden
 Michigan,Kerry,Obama,Obama,Trump,Biden
 Minnesota,Kerry,Obama,Obama,Clinton,Biden
 Mississippi,Bush,McCain,Romney,Trump,Trump
 Missouri,Bush,McCain,Romney,Trump,Trump
 Montana,Bush,McCain,Romney,Trump,Trump
 Nebraska,Bush,McCain,Romney,Trump,Trump
 Nevada,Bush,Obama,Obama,Clinton,Biden
 New Hampshire,Kerry,Obama,Obama,Clinton,Biden
 New Jersey,Kerry,Obama,Obama,Clinton,Biden
 New Mexico,Bush,Obama,Obama,Clinton,Biden
 New York,Kerry,Obama,Obama,Clinton,Biden
 North Carolina,Bush,Obama,Romney,Trump,Trump
 North Dakota,Bush,McCain,Romney,Trump,Trump
 Ohio,Bush,Obama,Obama,Trump,Trump
 Oklahoma,Bush,McCain,Romney,Trump,Trump
 Oregon,Kerry,Obama,Obama,Clinton,Biden
 Pennsylvania,Kerry,Obama,Obama,Trump,Biden
 Rhode Island,Kerry,Obama,Obama,Clinton,Biden
 South Carolina,Bush,McCain,Romney,Trump,Trump
 South Dakota,Bush,McCain,Romney,Trump,Trump
 Tennessee,Bush,McCain,Romney,Trump,Trump
 Texas,Bush,McCain,Romney,Trump,Trump
 Utah,Bush,McCain,Romney,Trump,Trump
 Vermont,Kerry,Obama,Obama,Clinton,Biden
 Virginia,Bush,Obama,Obama,Clinton,Biden
Washington,Kerry,Obama,Obama,Clinton,Biden
 West Virginia,Bush,McCain,Romney,Trump,Trump
 Wisconsin,Kerry,Obama,Obama,Trump,Biden
 Wyoming,Bush,McCain,Romney,Trump,Trump
